"  22/06/20
  To
  26/06/20","  3
  5
  8",66,"  1
  6
   9","  5
  8
  9",28,"  4
  4
   0","  1
  1
  8",2,"  2
  5
  5 ","  2
  4
  0",64,"  3
  5
  6","  2
  8
  0",4,"  2
  4
  8",,"  2
  3
  4",92,"  4
  9
  9",,,,,,,,,,,,
"  29/06/20
  To
  03/07/20","  2
  6
  0",86,"  7
  9
  0","  1
  5
  6",26,"  2
  6
  8","  2
  5
  6",30,"  4
  7
  9","  3
  5
  0",83,"  1
  4
  8","  1
  8
  0",97,"  2
  5
  0",,"  1
  5
  9",56,"  7
  9
  0",,,,,,,,,,,,
"  06/07/20
  To
  10/07/20","  2
  4
  8",44,"  7
  8
  9","  1
  2
  4",73,"  1
  5
  7","  3
  5
  7",52,"  5
  8
  9","  6
  6
  7",94,"  3
  5
  6","  1
  3
  7",10,"  1
  4
  5",,"  7
  8
  0",52,"  5
  7
  0",,,,,,,,,,,,
"  13/07/20
  To
  17/07/20","  1
  3
  0",48,"  4
  7
  7","  1
  8
  0",99,"  3
  6
  0","  4
  7
  7",88,"  5
  6
  7","  1
  3
  9",32,"  5
  7
  0","  2
  6
  9",72,"  3
  9
  0",,"  4
  6
  8",85,"  2
  6
  7",,,,,,,,,,,,
"  20/07/20
  To
  24/07/20","  2
  4
  7",35,"  2
  3
  0","  5
  7
  8",2,"  1
  3
  8","  6
  6
  0",23,"  7
  8
  8","  1
  1
  7",99,"  1
  2
  6","  1
  3
  9",39,"  1
  3
  5",,"  3
  6
  0",98,"  3
  5
  0",,,,,,,,,,,,
"  27/07/20
  To
  31/07/20","  3
  4
  4",15,"  1
  4
  0","  2
  7
  0",93,"  5
  8
  0","  2
  3
  8",36,"  1
  5
  0","  6
  7
  9",21,"  4
  7
  0","  4
  5
  7",65,"  3
  5
  7",,"  2
  7
  0",90,"  1
  3
  6",,,,,,,,,,,,
"  03/08/20
  To
  07/08/20","  2
  5
  0",72,"  3
  4
  5","  6
  8
  8",20,"  5
  6
  9","  1
  7
  8",66,"  3
  4
  9","  1
  6
  6",38,"  1
  8
  9","  3
  4
  6",33,"  5
  8
  0",,"  2
  4
  0",68,"  5
  5
  8",,,,,,,,,,,,
"  10/08/20
  To
  14/08/20","  3
  4
  5",24,"  7
  7
  0","  2
  4
  0",65,"  7
  8
  0","  1
  4
  5",8,"  4
  7
  7","  1
  2
  7",4,"  1
  4
  9","  6
  7
  9",20,"  4
  6
  0",,"  1
  2
  9",26,"  8
  8
  0",,,,,,,,,,,,
"  17/08/20
  To
  21/08/20","  4
  5
  7",68,"  1
  7
  0","  2
  4
  9",56,"  7
  9
  0","  6
  7
  0",34,"  2
  5
  7","  3
  8
  0",17,"  3
  4
  0","  4
  7
  0",19,"  2
  3
  4",,"  1
  6
  9",64,"  1
  4
  9",,,,,,,,,,,,
"  24/08/20
  To
  28/08/20","  8
  9
  0",72,"  3
  3
  6","  1
  3
  7",13,"  5
  8
  0","  7
  7
  9",34,"  1
  6
  7","  1
  5
  0",64,"  3
  4
  7","  4
  5
  9",80,"  2
  8
  0",,"  7
  7
  8",24,"  5
  9
  0",,,,,,,,,,,,
"  31/08/20
  To
  04/09/20","  1
  1
  2",44,"  2
  4
  8","  4
  7
  8",96,"  2
  6
  8","  3
  8
  9",5,"  3
  4
  8","  1
  5
  0",60,"  3
  7
  0","  2
  7
  0",98,"  3
  7
  8",,"  2
  4
  5",10,"  4
  8
  8",,,,,,,,,,,,
"  07/09/20
  To
  11/09/20","  4
  8
  0",27,"  2
  5
  0","  4
  5
  9",80,"  5
  6
  9","  4
  6
  9",97,"  4
  5
  8","  2
  8
  0",1,"  1
  4
  6","  7
  9
  0",63,"  6
  8
  9",,"  4
  6
  6",60,"  1
  4
  5",,,,,,,,,,,,
"  14/09/20
  To
  18/09/20","  2
  6
  8",63,"  2
  5
  6","  1
  9
  0",4,"  2
  5
  7","  7
  8
  0",58,"  1
  7
  0","  1
  2
  6",93,"  1
  5
  7","  3
  3
  5",11,"  1
  4
  6",,"  5
  8
  9",26,"  2
  4
  9",,,,,,,,,,,,
"  21/09/20
  To
  25/09/20","  2
  2
  8",28,"  8
  0
  0","  2
  2
  7",14,"  2
  5
  7","  4
  4
  8",66,"  1
  6
  9","  2
  3
  7",23,"  6
  8
  9","  1
  6
  7",42,"  1
  5
  6",,"  7
  9
  0",62,"  5
  8
  9",,,,,,,,,,,,
"  28/09/20
  To
  02/10/20","  5
  8
  0",31,"  4
  8
  9","  1
  6
  8",51,"  2
  3
  6","  1
  4
  6",10,"  1
  3
  6","  1
  4
  5",0,"  3
  7
  0","  3
  3
  0",61,"  5
  6
  0",,"  2
  5
  6",36,"  7
  9
  0",,,,,,,,,,,,
"  05/10/20
  To
  09/10/20","  4
  4
  5",38,"  2
  7
  9","  7
  8
  0",52,"  7
  7
  8","  3
  5
  8",69,"  2
  3
  4","  1
  3
  3",71,"  1
  2
  8","  1
  6
  0",75,"  4
  4
  7",,"  2
  9
  0",14,"  2
  3
  9",,,,,,,,,,,,
"  12/10/20
  To
  16/10/20","  5
  6
  7",82,"  5
  8
  8","  5
  7
  7",93,"  4
  9
  0","  3
  9
  9",10,"  6
  7
  7","  3
  7
  9",98,"  1
  7
  0","  3
  4
  0",75,"  3
  6
  6",,"  1
  7
  0",89,"  5
  7
  7",,,,,,,,,,,,
"  19/10/20
  To
  23/10/20","  5
  7
  7",99,"  1
  3
  5","  1
  2
  7",1,"  2
  4
  5","  1
  7
  9",76,"  1
  6
  9","  5
  8
  0",31,"  1
  2
  8","  4
  5
  5",47,"  1
  1
  5",,"  *
  *
  *",  ** ,"  *
  *
  *",,,,,,,,,,,,
"  26/10/20
  To
  30/10/20","  2
  7
  0",94,"  4
  0
  0","  2
  3
  0",54,"  2
  3
  9","  1
  8
  8",75,"  3
  5
  7","  1
  2
  4",76,"  6
  0
  0","  4
  8
  8",9,"  4
  5
  0",,"  4
  0
  0",47,"  9
  9
  9",,,,,,,,,,,,
"  02/11/20
  To
  06/11/20","  3
  5
  9",72,"  3
  4
  5","  1
  4
  0",59,"  1
  2
  6","  7
  9
  9",59,"  4
  7
  8","  5
  6
  0",14,"  7
  8
  9","  5
  9
  0",45,"  2
  6
  7",,"  4
  6
  0",0,"  2
  8
  0",,,,,,,,,,,,
"  09/11/20
  To
  13/11/20","  *
  *
  *",  ** ,"  *
  *
  *","  *
  *
  *",  ** ,"  *
  *
  *","  *
  *
  *",  ** ,"  *
  *
  *","  *
  *
  *",  ** ,"  *
  *
  *","  *
  *
  *",  ** ,"  *
  *
  *",,"  1
  9
  0",2,"  1
  3
  8",,,,,,,,,,,,
"  16/11/20
  To
  20/11/20","  1
  4
  9",46,"  1
  7
  8","  1
  2
  6",90,"  4
  7
  9","  2
  6
  7",57,"  2
  7
  8","  3
  3
  7",31,"  6
  7
  8","  7
  7
  8",27,"  2
  2
  3",,"  5
  9
  9",33,"  4
  4
  5",,,,,,,,,,,,
"  23/11/20
  To
  27/11/20","  6
  8
  0",48,"  4
  5
  9","  4
  5
  0",93,"  1
  4
  8","  3
  5
  0",81,"  2
  9
  0","  2
  7
  7",63,"  2
  3
  8","  6
  8
  9",37,"  1
  8
  8",,"  1
  3
  7",15,"  8
  8
  9",,,,,,,,,,,,
"  30/11/20
  To
  04/12/20","  3
  9
  0",22,"  5
  7
  0","  3
  6
  0",90,"  2
  8
  0","  3
  5
  6",40,"  3
  3
  4","  5
  7
  7",98,"  3
  5
  0","  1
  6
  0",78,"  1
  2
  5",,"  4
  4
  5",33,"  1
  4
  8",,,,,,,,,,,,
"  07/12/20
  To
  11/12/20","  1
  8
  0",97,"  2
  6
  9","  1
  6
  7",41,"  2
  9
  0","  1
  4
  0",58,"  2
  6
  0","  1
  6
  0",74,"  1
  5
  8","  1
  4
  5",0,"  1
  3
  6",,"  2
  6
  7",51,"  5
  7
  9",,,,,,,,,,,,
"  14/12/20
  To
  18/12/20","  5
  6
  7",82,"  3
  9
  0","  2
  8
  9",90,"  3
  3
  4","  2
  2
  3",76,"  8
  9
  9","  1
  3
  0",40,"  5
  6
  9","  4
  5
  8",73,"  1
  3
  9",,"  4
  7
  8",97,"  3
  6
  8",,,,,,,,,,,,
"  21/12/20
  To
  25/12/20","  3
  3
  6",29,"  3
  7
  9","  4
  5
  0",96,"  5
  5
  6","  6
  8
  0",49,"  2
  3
  4","  2
  5
  9",68,"  4
  5
  9","  5
  7
  8",3,"  2
  3
  8",,"  3
  9
  0",24,"  1
  4
  9",,,,,,,,,,,,
"  28/12/20
  To
  01/01/21","  3
  9
  0",24,"  2
  5
  7","  1
  2
  3",62,"  1
  2
  9","  3
  8
  0",11,"  2
  4
  5","  1
  1
  6",89,"  4
  6
  9","  2
  6
  6",48,"  5
  6
  7",,"  2
  4
  4",9,"  4
  7
  8",,,,,,,,,,,,
"  04/01/21
  To
  08/01/21","  5
  8
  0",37,"  2
  6
  9","  5
  6
  7",84,"  6
  8
  0","  1
  5
  5",18,"  2
  3
  3","  3
  8
  0",11,"  5
  6
  0","  3
  4
  9",66,"  2
  5
  9",,"  1
  7
  0",86,"  4
  5
  7",,,,,,,,,,,,
"  11/01/21
  To
  15/01/21","  1
  2
  9",24,"  2
  5
  7","  1
  5
  7",35,"  7
  9
  9","  1
  5
  9",52,"  3
  3
  6","  6
  8
  9",39,"  5
  5
  9","  1
  6
  7",42,"  4
  8
  0",,"  5
  9
  9",31,"  6
  6
  9","  7
  0
  0",75,"  4
  5
  6","  4
  7
  9",4,"  2
  6
  6","  6
  7
  0",39,"  5
  6
  8","  2
  2
  9",32,"  5
  7
  0"
"  18/01/21
  To
  22/01/21","  1
  5
  8",47,"  2
  7
  8","  4
  7
  8",99,"  5
  5
  9","  2
  2
  5",95,"  1
  6
  8","  4
  4
  7",54,"  5
  9
  0","  2
  3
  7",23,"  6
  7
  0",,,,,,,,,,,,,,,,
"  25/01/21
  To
  29/01/21","  2
  3
  9",47,"  3
  5
  9","  *
  *
  *",  ** ,"  *
  *
  *","  5
  5
  7",78,"  2
  7
  9","  1
  8
  9",85,"  2
  4
  9","  2
  3
  9",44,"  3
  5
  6",,,,,,,,,,,,,,,,
"  01/02/21
  To
  05/02/21","  3
  6
  0",91,"  2
  3
  6","  6
  9
  0",56,"  1
  1
  4","  3
  8
  8",93,"  7
  7
  9","  7
  7
  8",29,"  1
  1
  7","  1
  2
  6",98,"  4
  6
  8",,,,,,,,,,,,,,,,
"  08/02/21
  To
  12/02/21","  4
  7
  0",13,"  6
  7
  0","  1
  8
  0",91,"  1
  5
  5","  2
  8
  0",1,"  1
  2
  8","  9
  9
  0",80,"  2
  4
  4","  2
  4
  7",35,"  3
  4
  8",,,,,,,,,,,,,,,,
"  15/02/21
  To
  19/02/21","  3
  8
  8",98,"  1
  8
  9","  2
  3
  8",34,"  2
  5
  7","  5
  7
  9",12,"  3
  9
  0","  4
  8
  9",16,"  4
  5
  7","  4
  5
  6",52,"  1
  5
  6",,"  6
  8
  0",44,"  3
  5
  6","  2
  4
  6",22,"  6
  7
  9","  4
  4
  7",59,"  9
  0
  0","  1
  3
  7",19,"  3
  6
  0","  4
  7
  9",5,"  3
  5
  7"
"  22/02/21
  To
  26/02/21","  4
  5
  0",90,"  6
  7
  7","  6
  8
  0",48,"  1
  7
  0","  4
  4
  9",72,"  3
  9
  0","  3
  4
  9",66,"  2
  4
  0","  2
  6
  7",58,"  4
  6
  8",,,,,,,,,,,,,,,,
"  01/03/21
  To
  05/03/21","  4
  5
  7",61,"  4
  7
  0","  2
  4
  5",11,"  5
  7
  9","  3
  4
  6",30,"  4
  6
  0","  3
  6
  6",56,"  4
  6
  6","  1
  6
  0",78,"  3
  7
  8",,,,,,,,,,,,,,,,
"  08/03/21
  To
  12/03/21","  1
  6
  9",68,"  1
  3
  4","  4
  5
  8",74,"  3
  5
  6","  3
  4
  5",24,"  3
  5
  6","  2
  4
  8",49,"  4
  7
  8","  2
  5
  0",71,"  1
  2
  8",,,,,,,,,,,,,,,,
"  15/03/21
  To
  19/03/21","  5
  8
  8",11,"  1
  4
  6","  2
  4
  6",26,"  1
  5
  0","  2
  3
  7",26,"  6
  0
  0","  3
  4
  0",73,"  3
  0
  0","  3
  3
  5",13,"  1
  2
  0",,,,,,,,,,,,,,,,
"  22/03/21
  To
  26/03/21","  4
  5
  6",56,"  3
  5
  8","  1
  1
  4",65,"  3
  4
  8","  4
  5
  5",41,"  1
  1
  9","  1
  1
  2",45,"  2
  4
  9","  1
  7
  8",68,"  2
  3
  3",,"  6
  9
  0",57,"  3
  6
  8","  3
  9
  0",22,"  1
  5
  6","  5
  7
  8",0,"  5
  6
  9","  2
  5
  8",50,"  3
  8
  9","  7
  9
  0",61,"  1
  2
  8"
"  29/03/21
  To
  02/04/21","  *
  *
  *",  ** ,"  *
  *
  *","  4
  4
  9",73,"  5
  9
  9","  1
  5
  7",32,"  3
  4
  5","  1
  3
  5",91,"  3
  8
  0","  5
  7
  0",29,"  4
  5
  0",,,,,,,,,,,,,,,,
"  05/04/21
  To
  09/04/21","  2
  5
  7",40,"  4
  7
  9","  2
  5
  6",33,"  1
  4
  8","  6
  7
  0",35,"  2
  6
  7","  3
  7
  9",91,"  2
  9
  0","  1
  5
  7",32,"  3
  9
  0",,,,,,,,,,,,,,,,
"  12/04/21
  To
  16/04/21","  1
  6
  7",42,"  6
  6
  0","  3
  8
  9",0,"  2
  4
  4","  2
  7
  0",99,"  3
  6
  0","  4
  5
  6",50,"  1
  3
  6","  1
  3
  7",12,"  4
  8
  0",,,,,,,,,,,,,,,,
